"","data","horario","id_video","id_plataforma","alim_disp","alim_esco_capuchin","id_animal","id_especie","sex_age","n_classe","n_total","id_capuchin","alim","vocalizacao","agonismo_disputa_alimento","agonismo_deslocar","agonismo_deslocado","agonismo_ameaca","agonismo_int_intra","agonismo_int_inter","positiva_int_intra","positiva_int_inter","neutra_int_intra","neutra_int_inter"
"53",2025-07-03,1899-12-31 03:42:00,7030012,3,"banana, manga, mamão, abacate",NA,"morcego","ni",NA,NA,NA,NA,"1.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",2025-07-03,1899-12-31 03:53:00,7030014,3,"banana, manga, mamão, abacate",NA,"morcego","ni",NA,NA,NA,NA,"1.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",2025-07-03,1899-12-31 04:37:00,7030018,3,"banana, manga, mamão, abacate",NA,"morcego","ni",NA,NA,NA,NA,"1.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",2025-07-03,1899-12-31 16:16:00,7030029,4,"abacate",NA,"quati","Nasua nasua",NA,NA,NA,NA,"0.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",2025-07-03,1899-12-31 16:17:00,7030030,4,"abacate",NA,"quati","Nasua nasua",NA,NA,NA,NA,"1.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",2025-07-03,1899-12-31 16:17:00,7030030,4,"abacate",NA,"quati","Nasua nasua",NA,NA,NA,NA,"0.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",2025-07-03,1899-12-31 16:17:00,7030030,4,"abacate",NA,"quati","Nasua nasua",NA,NA,NA,NA,"0.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",2025-07-03,1899-12-31 16:18:00,7030030,4,"abacate",NA,"quati","Nasua nasua",NA,NA,NA,NA,"0.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",2025-07-03,1899-12-31 16:18:00,7030030,4,"abacate",NA,"quati","Nasua nasua",NA,NA,NA,NA,"0.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",2025-07-03,1899-12-31 16:18:00,7030030,4,"abacate",NA,"quati","Nasua nasua",NA,NA,NA,NA,"0.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",2025-07-03,1899-12-31 16:18:00,7030030,4,"abacate",NA,"quati","Nasua nasua",NA,NA,NA,NA,"0.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",2025-07-03,1899-12-31 16:19:00,7030031,4,"abacate",NA,"quati","Nasua nasua",NA,NA,NA,NA,"0.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",2025-07-03,1899-12-31 16:19:00,7030031,4,"abacate",NA,"quati","Nasua nasua",NA,NA,NA,NA,"0.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",2025-07-03,1899-12-31 16:19:00,7030031,4,"abacate",NA,"quati","Nasua nasua",NA,NA,NA,NA,"0.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",2025-07-03,1899-12-31 16:20:00,7030032,4,"abacate",NA,"quati","Nasua nasua",NA,NA,NA,NA,"0.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",2025-07-03,1899-12-31 16:20:00,7030032,4,"abacate",NA,"quati","Nasua nasua",NA,NA,NA,NA,"0.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",2025-07-03,1899-12-31 16:20:00,7030032,4,"abacate",NA,"quati","Nasua nasua",NA,NA,NA,NA,"0.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",2025-07-03,1899-12-31 16:20:00,7030032,4,"abacate",NA,"quati","Nasua nasua",NA,NA,NA,NA,"0.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
